date_started,date_ended,title,author,pages,category,subcategory,country,my_rating,publication_year
-,2005-01-01,"Dude, Where's My Country?",Michael Moore,272,non-fiction,politics,,2,2003
-,2006-01-01,Economics and Economic Change (Macroeconomics),Graham Dawson,285,non-fiction,economics,,3,2006
-,2006-01-01,The Prime Minister: The Office and Its Holders Since 1945,Peter Hennessy,704,non-fiction,politics,,3,1998
-,2006-01-01,Economics and Economic Change (Microeconomics),Graham Dawson,344,non-fiction,economics,,3,2006
-,2006-01-01,What Uncle Sam Really Wants,Noam Chomsky,111,non-fiction,politics,,2,1991
-,2006-01-01,Surrealism,Patrick Waldberg,128,non-fiction,art,,2,1965
-,2006-01-01,The State We're in: Why Britain is in Crisis and How to Overcome it,Will Hutton,240,non-fiction,politics,,4,1995
-,2006-01-01,The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,175,non-fiction,politics,,3,1992
-,2007-01-01,"A Globalizing World?: Culture, Economics, Politics",David Held,188,non-fiction,economics,,3,2000
-,2007-01-01,"Ordering The International: History, Change and Transformation",Simon Bromley,656,non-fiction,politics,,3,2004
-,2007-01-01,Making the International: Economic Interdependence and Political Order,Simon Bromley,560,non-fiction,economics,,3,2003
-,2007-01-01,The Killing Of The Countryside,Graham Harvey,240,non-fiction,nature,,5,1997
-,2008-01-01,Conduct: Sociology and Social Worlds,Liz McFall,224,non-fiction,politics,,3,2008
-,2008-01-01,Attachment: Sociology and Social Worlds,Peter Redman,224,non-fiction,politics,,3,2008
-,2008-01-01,Security: Sociology and Social Worlds,Sophie Watson,224,non-fiction,politics,,3,2008
-,2008-01-01,"William Morris, 1834-1896",Richard L. Tames,48,non-fiction,politics,,2,2008
-,2008-01-01,A Streetcar Named Desire,Tennessee Williams,107,fiction,literature,USA,3,1947
-,2009-01-01,Learning PHP 5,David Sklar,370,non-fiction,computing,,5,2004
-,2009-01-01,Governing European Diversity,Montserriat Guibernau,336,non-fiction,politics,,3,2001
-,2009-01-01,Governing the European Economy,Grahame Thompson,336,non-fiction,economics,,3,2001
-,2009-01-01,"Not Dead Enough (Roy Grace, #3)",Peter James,496,fiction,literature,UK,2,2007
-,2009-01-01,"Looking Good Dead (Roy Grace, #2)",Peter James,336,fiction,literature,UK,2,2006
-,2009-01-01,"Dead Simple (Roy Grace, #1)",Peter James,336,fiction,literature,UK,3,2005
-,2009-01-01,Doors Open,Ian Rankin,364,fiction,literature,UK,3,2008
2019-10-10,2009-10-10,The Counterfeiters,Andr√© Gide,352,fiction,existential fiction,France,3,1925
-,2010-01-01,My Shit Life So Far,Frankie Boyle,291,non-fiction,comedy,,2,2009
-,2010-01-01,"My brother, Lech Walesa",Walter Brolewicz,159,non-fiction,politics,,3,1983
-,2011-01-01,Power Politics,Arundhati Roy,192,non-fiction,politics,,2,2000
-,2011-01-01,The Metamorphosis,Franz Kafka,201,fiction,existential fiction,Czechia,4,1915
-,2011-01-01,"Broken Silence (Inspector Jack Brady, #1)",Danielle Ramsay,408,fiction,literature,UK,3,2010
-,2011-01-01,The Road,Cormac McCarthy,241,fiction,literature,USA,5,2006
-,2011-01-01,"What on Earth Happened?: The Complete Story of the Planet, Life, and People from the Big Bang to the Present Day",Christopher   Lloyd,415,non-fiction,nature,,3,2008
-,2011-01-01,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,466,non-fiction,nature,,5,1986
-,2011-01-01,The Spirit Level: Why More Equal Societies Almost Always Do Better,Richard G. Wilkinson,330,non-fiction,politics,,4,2009
-,2011-01-01,The World of Karl Pilkington,Karl Pilkington,229,non-fiction,comedy,,3,2006
-,2012-01-01,Deep Jungle,Fred Pearce,289,fiction,literature,UK,2,2005
-,2012-01-01,Sailing Alone around the World,Joshua Slocum,273,non-fiction,literature,,5,1899
-,2012-01-01,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,470,non-fiction,nature,,4,2009
-,2012-01-04,Disposition,Drew Pyke,210,fiction,literature,UK,5,2012
-,2013-01-01,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,320,fiction,literature,UK,4,1719
-,2013-01-01,The Prophet,Kahlil Gibran,127,non-fiction,religion,,4,1923
-,2013-06-24,Strangeland,Tracey Emin,213,non-fiction,art,,3,2005
-,2014-02-02,The Life of Mammals,David Attenborough,309,non-fiction,nature,,4,2002
-,2014-08-22,State of Wonder,Ann Patchett,353,non-fiction,nature,,4,2011
-,2014-10-21,"20,000 Leagues Under the Sea (Extraordinary Voyages #6)",Jules Verne,368,fiction,literature,France,4,1870
-,2015-04-12,H is for Hawk,Helen Macdonald,300,non-fiction,nature,,4,2014
-,2015-06-27,Running For The Hills,Horatio Clare,288,non-fiction,nature,,4,2006
-,2015-07-06,The Economic Naturalist: Why Economics Explains Almost Everything,Robert H. Frank,241,non-fiction,economics,,1,2006
-,2015-07-15,The Fish Ladder: A Journey Upstream,Katharine Norbury,304,non-fiction,nature,,3,2015
-,2015-09-20,The Selfish Gene,Richard Dawkins,360,non-fiction,nature,,3,1976
-,2015-10-01,Out of the Woods: The Armchair Guide to Trees,Will Cohu,256,non-fiction,nature,,2,2007
-,2015-10-29,The Cold War,John Lewis Gaddis,352,non-fiction,war,,4,2005
-,2015-12-02,Leaving Berlin,Joseph Kanon,371,fiction,war,USA,4,2014
-,2015-12-22,The Running Sky: A Bird-Watching Life,Tim Dee,258,non-fiction,nature,,3,2009
-,2016-02-20,The Cloudspotter's Guide,Gavin Pretor-Pinney,320,non-fiction,nature,,3,2006
-,2016-08-31,The Walker's Guide to Outdoor Clues and Signs,Tristan Gooley,438,non-fiction,nature,,3,2015
-,2016-09-10,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,240,fiction,philosophy,USA,3,1980
-,2016-10-09,Into the Wild,Jon Krakauer,207,non-fiction,nature,,5,1996
-,2017-01-05,No Nettles Required,Ken Thompson,192,non-fiction,nature,,4,2006
-,2017-01-09,The Curious Incident of the Dog in the Night-time,Mark Haddon,280,fiction,literature,UK,3,2003
-,2017-02-17,Frankenstein,Mary Wollstonecraft Shelley,273,fiction,literature,UK,5,1818
-,2017-04-18,The Adventures of Huckleberry Finn Audio,Saddleback Educational Publishing,224,fiction,literature,USA,2,2010
2017-10-09,2017-10-09,The Moth Snowstorm: Nature and Joy,Michael McCarthy,272,non-fiction,nature,,2,2015
2018-01-30,2018-01-30,"Walden; or, Life in the Woods",Henry David Thoreau,216,non-fiction,nature,,5,1854
2018-02-16,2018-02-16,The strange case of dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,96,fiction,literature,UK,3,1886
2018-03-05,2018-03-05,The Turn of the Screw,Henry James,87,fiction,literature,USA,2,1898
2018-03-15,2018-03-15,The Call of the Wild,Jack London,150,fiction,literature,USA,4,1903
2018-04-10,2018-04-10,Man's Search for Meaning,Viktor E. Frankl,160,non-fiction,war,,4,1946
-,2018-04-20,Fighting in Spain (Penguin Great Journeys),George Orwell,154,non-fiction,war,,4,1937
2018-04-25,2018-04-25,The Old Man and the Sea,Ernest Hemingway,99,fiction,literature,USA,3,1952
2018-05-19,2018-05-19,No Is Not Enough: Defeating the New Shock Politics,Naomi Klein,273,non-fiction,politics,,3,2017
2018-06-14,2018-06-14,Nausea,Jean-Paul Sartre,253,fiction,existential fiction,France,4,1938
2018-06-19,2018-06-19,No Longer Human,Osamu Dazai,176,fiction,existential fiction,Japan,4,1948
2018-07-19,2018-07-19,Notes from Underground & The Double,Fyodor Dostoyevsky,291,fiction,existential fiction,Russia,4,1864
2018-07-23,2018-07-23,The Stranger,Albert Camus,123,fiction,existential fiction,France,5,1942
2018-08-13,2018-08-13,The Myth of Sisyphus,Albert Camus,134,non-fiction,existential fiction,,4,1942
2018-08-28,2018-08-28,Siddhartha,Hermann Hesse,152,fiction,existential fiction,Germany,3,1922
2018-08-30,2018-08-30,How Proust Can Change Your Life,Alain de Botton,215,non-fiction,literature,,2,1997
2018-11-16,2018-11-16,The Inheritors,William Golding,233,fiction,existential fiction,UK,1,1955
2018-12-29,2018-12-29,Auschwitz: A Doctor's Eyewitness Account,Miklós Nyiszli,224,non-fiction,war,,4,1946
2019-02-14,2019-02-14,Thus Spake Zarathustra,Friedrich Nietzsche,158,non-fiction,philosophy,,4,1883
2019-02-28,2019-02-28,Industrial Society and Its Future,Theodore J. Kaczynski,149,non-fiction,politics,,4,1995
2019-03-19,2019-03-19,The Social Contract,Jean-Jacques Rousseau,188,non-fiction,politics,,4,1762
2019-03-22,2019-03-22,The Stranger in the Woods: The extraordinary story of the last true hermit,Michael Finkel,224,non-fiction,existential fiction,,4,2017
2019-03-28,2019-03-28,The Immoralist,André Gide,159,fiction,existential fiction,France,4,1902
2019-05-03,2019-05-03,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,144,non-fiction,war,,3,1962
2019-06-24,2019-06-25,The Trial,Franz Kafka,208,fiction,existential fiction,Czechia,4,1925
2019-07-10,2019-07-10,Stoner,John  Williams,288,fiction,existential fiction,USA,3,1965
2019-07-16,2019-07-16,Notes on Nationalism,George Orwell,52,non-fiction,politics,,3,2012
2019-10-23,2019-10-23,Create Dangerously,Albert Camus,58,fiction,philosophy,France,3,1957
2019-11-14,2019-11-18,Permaculture in a Nutshell,Patrick Whitefield,96,non-fiction,nature,,3,1993
2019-12-11,2019-12-11,This Is Not A Drill: An Extinction Rebellion Handbook,Extinction Rebellion,208,non-fiction,politics,,2,2019
2020-01-06,2020-01-06,Extraordinary Insects,Anne Sverdrup-Thygeson,320,non-fiction,nature,,3,2019
2020-01-13,2020-01-13,The Last Children of Tokyo,Yōko Tawada,138,fiction,literature,Japan,3,2014
2020-01-24,2020-01-24,On Anarchism,Noam Chomsky,192,non-fiction,politics,,4,2013
2020-02-08,2020-02-08,The God Delusion,Richard Dawkins,416,non-fiction,religion,,4,2006
2020-04-21,2020-04-21,Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche,240,non-fiction,philosophy,,5,1886
2018-03-07,2020-05-03,The Story of Philosophy,James Garvey,384,non-fiction,philosophy,,4,2012
2020-05-05,2020-05-13,The Road to Wigan Pier,George Orwell,215,non-fiction,politics,,3,1937
2020-05-24,2020-05-31,An Introduction to Marxist Economic Theory,Ernest Mandel,106,non-fiction,politics,,3,1969
2020-06-12,2020-07-19,Fear and Trembling,Søren Kierkegaard,166,non-fiction,philosophy,,2,1843
2020-07-21,2020-07-25,The Prince,Niccolò Machiavelli,154,non-fiction,politics,,3,1532
2020-08-07,2020-10-30,The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being,Simone Davies,256,non-fiction,other,,1,2018
2020-11-02,2020-12-11,The Divided Self: An Existential Study in Sanity and Madness,R.D. Laing,240,non-fiction,philosophy,,5,1960
-,2020-12-17,"Ajin: Demi-Human, #1 (Kodansha Bilingual Comics: Ajin, #1)",Gamon Sakurai,232,fiction,manga,Japan,4,2013
2021-01-04,2021-01-10,The Death of Ivan Ilyich and Other Stories,Leo Tolstoy,66,fiction,existential fiction,Russia,4,1886
-,2021-01-14,To Build a Fire,Jack London,32,fiction,literature,USA,4,1902
